movie_id,name
0,Shrek (Full-screen)
1,The X-Files: Season 2
2,The Punisher
3,Spy Game
4,Lethal Weapon 4
5,Glengarry Glen Ross
6,I Still Know What You Did Last Summer
7,Hart's War
8,Backdraft
9,Three Days of the Condor
10,Cold Mountain
11,Unforgiven
12,Terminator 3: Rise of the Machines
13,Babylon 5: Season 1
14,You've Got Mail
15,National Lampoon's Vacation
16,The X-Files: Season 3
17,The Fifth Element
18,Mission: Impossible II
19,Field of Dreams
20,The Lost World: Jurassic Park
21,Taps
22,The Aviator
23,A Bug's Life
24,Orange County
25,Dog Day Afternoon
26,Little Women
27,Say Anything
28,Beverly Hills Cop
29,The West Wing: Season 1
30,Blazing Saddles
31,Blood Simple
32,The Contender
33,The Exorcist
34,Stigmata
35,Dreamcatcher
36,Excalibur
37,Taking Lives
38,The Silence of the Lambs
39,A Patch of Blue
40,Johnny Dangerously
41,Final Destination
42,Reality Bites
43,Bandits
44,Aladdin: Platinum Edition
45,Good Morning
46,Jumpin' Jack Flash
47,Bad Boys
48,Lean on Me
49,Don't Say a Word
50,The Office: Series 1
51,National Lampoon's European Vacation
52,Planet of the Apes
53,White Men Can't Jump
54,Point of No Return
55,Death Becomes Her
56,The Borrowers
57,Madonna: Truth or Dare
58,I
59,K-Pax
60,The King and I
61,Rugrats in Paris: The Movie
62,Beetlejuice
63,Payback
64,Somewhere in Time
65,Willy Wonka & the Chocolate Factory
66,The Warriors
67,Police Academy: Special Edition
68,Saturday Night Live: 25th Anniversary
69,Entrapment
70,Vision Quest
71,Hard Target
72,Swordfish
73,A Nightmare on Elm Street 5: The Dream Child
74,Dave
75,Mean Girls
76,Seven Years in Tibet
77,Funny Farm
78,Confessions of a Dangerous Mind
79,Down With Love
80,Lilies of the Field
81,Dirty Dancing
82,Stalag 17
83,Executive Decision
84,My Life
85,XXX: Special Edition
86,Inspector Gadget
87,The Money Pit
88,Intolerable Cruelty
89,Jaws
90,Four Rooms
91,Chasing Liberty
92,Woman Thou Art Loosed
93,Monster's Ball
94,Seven
95,The Hurricane
96,Metropolis
97,With Honors
98,National Lampoon's Animal House
99,Double Impact
100,Drop Zone
101,The Mummy Returns
102,The Wedding Planner
103,The Way of the Gun
104,Star Trek III: The Search for Spock
105,A Guy Thing
106,The Amityville Horror
107,Mars Attacks!
108,Da Ali G Show: Season 1
109,Ray
110,Lost in Translation
111,Untamed Heart
112,Men in Black II
113,Bride and Prejudice
114,Jurassic Park
115,The Big Kahuna
116,Austin Powers: The Spy Who Shagged Me
117,Flight of the Navigator
118,The Man Who Knew Too Little
119,In Good Company
120,A Simple Plan
121,Barton Fink
122,Caddyshack
123,Gettysburg
124,The Replacement Killers
125,Mystic River
126,The Thomas Crown Affair
127,Gerry
128,O Brother
129,Von Ryan's Express
130,Father of the Bride
131,The Tuxedo
132,An Officer and a Gentleman
133,Love Jones
134,Kill Bill: Vol. 1
135,To Sir
136,War Games
137,Things to Do in Denver When You're Dead
138,My Favorite Martian: The Movie
139,Rebecca
140,Top Gun
141,The Witches
142,Back to the Future
143,Invasion of the Body Snatchers
144,G.I. Jane
145,House of Games
146,High Noon
147,Baadasssss!
148,Stakeout
149,Network
150,Harry Potter and the Sorcerer's Stone
151,Miracle on 34th Street
152,Another 48 Hrs.
153,Casualties of War
154,Cheaper by the Dozen
155,SpaceCamp
156,Final Analysis
157,The Ten Commandments
158,Assassins
159,The Recruit
160,Nothing to Lose
161,Bulletproof
162,Maid in Manhattan
163,K-19: The Widowmaker
164,The Secret Lives of Dentists
165,The Quick and the Dead
166,Spellbound
167,The Apostle
168,Sex and the City: Season 6: Part 2
169,Secretary
170,Parenthood
171,The Green Mile
172,Keeping the Faith
173,Bedazzled
174,The Adventures of Priscilla
175,The Rundown
176,Waiting for Guffman
177,Fools Rush In
178,Girl
179,Terminator 
180,Tommy Boy
181,Blade Runner
182,The Postman
183,Raising Helen
184,The Grudge
185,Eurotrip
186,The Flight of the Phoenix
187,Kalifornia
188,The Sweetest Thing
189,The Santa Clause
190,Courage Under Fire
191,Beverly Hills Cop II
192,Son in Law
193,Cruel Intentions
194,Changing Lanes
195,The Big Bounce
